Bank,Assents,OwnCapital,IndFunds,NBSLoans,IndLoans
Коммерцбанк (Евразия),102695,11293,0,21808,0
Костромаселькомбанк,2209,431,846,760,620
Кошелев-банк,18382,2012,13258,7486,3317
Кредит Европа Банк,128283,17581,74356,87511,65714
Кредит Урал банк,38376,5186,23571,14788,11769
Крокус-банк,4842,1306,2349,1239,210
Крона-банк,1686,558,494,1011,47
Кросна-банк,3391,336,2852,381,177
Кс-банк,12135,983,9476,8477,3219
Кубаньторгбанк,5099,1350,2960,1296,186
Кузбассхимбанк,1721,372,1258,1066,143
Кузнецкбизнесбанк,7780,1699,4748,2974,1832
КЭБ Эйчэнби Банк,44353,4845,0,15300,5
Ланта-банк,35537,2299,13653,5921,818
Локо-банк,113893,17930,56379,47653,46474
Майкопбанк,1760,331,1076,831,137
МВС-банк,537,370,50,227,94
Международный комбанк,2238,501,1070,719,500
Мерседес-Бенц Банк Рус,30060,5140,0,21523,22201
Металлинвестбанк,107217,15863,48335,59216,23558
Меткомбанк,70610,19259,17099,27709,1850
МИнБ,274008,7566,169596,76068,22957
Модульбанк,24411,2649,31,1398,34
Морской банк,17885,1969,5821,7913,36
Московский кредитный банк,2988171,271793,493696,2199626,130331
Москомбанк,4471,1146,1189,597,59
Москоммерцбанк,21169,8660,8856,8557,2722
Мособлбанк,433292,-133031,72027,88607,6039
МС Банк Рус,31648,4126,485,26866,26771
МСКБ,1041,330,346,530,97
МСП-банк,130622,26478,557,81358,5
МТИ-банк,1498,413,312,409,50
МТС-банк,205066,37471,105436,119874,108186
Народный Доверительный банк,1701,346,86,46,68
Натиксис-банк,32907,6704,0,22855,0
Нацбанк сСбережений,1060,329,275,312,97
НБД-банк,23679,5073,12673,11297,323
Нефтепромбанк,8215,1354,3166,4637,1895
НИБ,1678,552,599,143,129
Нико-банк,13006,2030,8586,7495,3455
НИПБ,13373,2717,8181,5862,467
НК-банк,18540,3048,9135,6885,2195
Новикомбанк,512103,61947,33921,405489,5120
Новобанк,9215,1605,3606,1338,731
Новый московский банк,1989,690,534,736,105
Нокссбанк,4513,2300,765,2941,1619
Норвик-банк,17358,1829,11272,6048,3982
Нордеа-банк,53196,30266,455,20057,0
НРБ,12248,5387,739,4538,861
НС-банк,32797,5681,15579,10590,1161
НФК,12932,3042,0,12199,4
ОБР,794,383,274,217,162
Оней-банк,1765,393,3,1466,38
ОРБанк,3172,448,519,603,110
ОТП-банк,136473,34818,59732,76026,76657
Первоуральскбанк,3432,480,2069,2671,408
Первый Дортрансбанк,2140,371,904,661,75
Первый клиентский банк,3360,1584,0,2312,734
Плюс-банк,29941,3349,18204,22872,23344
Почта-банк,482429,99702,361158,378134,439822
Почтобанк,1292,383,625,564,264
Примсоцбанк,71469,9868,37809,47506,18101
Прио-Внешторгбанк,17746,1477,10261,7440,1501
ПроБанк,3050,1377,663,1356,55
Прокоммерцбанк,764,349,1,507,28
Промсвязьбанк,2503499,242334,503089,1401834,318334
Промсельхозбанк,1357,387,531,322,43
Промтрансбанк,14573,884,6117,2854,2958
Профинвестбанк,1788,307,868,1177,200
ПСКБ,33690,3086,10002,3295,561
ПТБ,1446,316,242,758,244
Райффайзенбанк,1432353,200008,579245,820678,315993
РБА,2366,1936,71,877,0
Реалист-банк,17689,4066,7196,10668,4772
Рента-банк,532,374,0,66,9
РКА,1639,581,217,586,165
РМП,1601,588,346,455,40
РН Банк,107531,22769,2309,82973,67918
РНКБ,270926,53518,112492,172596,61474
Росбанк,1378787,168724,315829,673308,365226
Росбизнесбанк,1503,302,629,707,288
Росгосстрах-банк,64630,17616,23473,49175,41505
Росдорбанк,21522,2817,10898,10946,1087
Роскосмосбанк,110298,37182,8364,64662,1007
Россельхозбанк,3539546,507453,1265917,2458609,509208
Россита-банк,2501,557,1203,667,443
Росэксимбанк,186501,30708,0,97566,0
Роял Кредит Банк,5214,718,3465,2925,54
Руна-банк,1482,383,576,653,64
Руснарбанк,13731,3111,3371,7673,4503
Русский банк сбережений,1591,648,35,496,1
Русский региональный банк,766,427,0,60,0
Русфинанс-банк,145634,22876,2640,128183,129875
Русьуниверсалбанк,11157,7095,372,2402,14
РФИ-банк,2801,645,115,187,43
Саммит-банк,1184,371,524,766,144
Саровбизнесбанк,43122,8018,23738,15039,4213
Сбербанк России,32421026,4873465,14572552,21765857,8044812
СДМ-банк,73835,10028,42310,14967,2075
Севастопольский морской банк,3144,-784,1509,523,336
Северный народный банк,7527,1190,3121,1482,213
Северстройбанк,416,333,0,289,209
Севзапинвестпромбанк,709,468,44,15,0
Сельмашбанк,3425,597,1041,222,53
Сетелем-банк,146884,23603,4527,134038,143253
СИАБ,5164,821,2490,1808,55
Сибсоцбанк,7732,1549,3800,4213,1177
