client,Recency,Frequency,Monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,relative_value_pct,event
client10067,69.0,1.0,21294.0,22.0,21294.0,7.0,22.0,0.0,20415.0,0.5477825405698389,False
client10068,98.0,3.0,10027.0,19.0,3342.3333333333335,7.0,6.333333333333333,2.0,30.0,0.25794193361011436,False
client10069,181.0,2.0,1280.0,2.0,640.0,2.0,1.0,0.0,55.0,0.03292766281250088,False
client1007,38.0,6.0,9686.0,37.0,1614.3333333333333,25.0,6.166666666666667,6.0,499.0,0.24916979843897152,False
client10070,54.0,22.0,14535.0,98.0,660.6818181818181,66.0,4.454545454545454,47.0,18.0,0.3739090460778909,True
client10071,8.0,7.0,2163.0,22.0,309.0,20.0,3.142857142857143,10.0,115.0,0.055642605205812046,False
client10072,6.0,1.0,35319.0,57.0,35319.0,20.0,57.0,0.0,333.0,0.9085719709958741,True
client10073,5.0,4.0,4085.0,13.0,1021.25,9.0,3.25,0.0,198.0,0.1050855488977079,True
client10074,198.0,1.0,3999.0,1.0,3999.0,1.0,1.0,0.0,3999.0,0.102873221552493,False
client10075,507.0,6.0,9272.0,38.0,1545.3333333333333,21.0,6.333333333333333,2.0,2599.0,0.23851975749805326,False
client10076,68.0,8.0,20673.0,21.0,2584.125,11.0,2.625,3.0,799.0,0.5318074791584615,True
client10077,106.0,10.0,21780.0,72.0,2178.0,34.0,7.2,26.0,44.0,0.5602847625439604,False
client10078,6.0,9.0,16102.0,119.0,1789.111111111111,29.0,13.222222222222221,25.0,999.0,0.41421970828663224,False
client10079,125.0,1.0,434.0,6.0,434.0,2.0,6.0,0.0,345.0,0.011164535672363581,False
client1008,670.0,1.0,897.0,3.0,897.0,1.0,3.0,0.0,897.0,0.023075088705322884,True
client10080,147.0,4.0,4804.0,20.0,1201.0,13.0,5.0,4.0,143.0,0.12358163449316738,False
client10081,406.0,1.0,2932.0,14.0,2932.0,8.0,14.0,8.0,369.0,0.07542492762988484,False
client10082,39.0,7.0,19403.0,44.0,2771.8571428571427,23.0,6.285714285714286,5.0,165.0,0.4991370637116833,False
client10083,274.0,6.0,10683.0,39.0,1780.5,13.0,6.5,12.0,339.0,0.2748173608015211,False
client10084,178.0,1.0,375.0,5.0,375.0,4.0,5.0,0.0,119.0,0.009646776214599868,False
client10085,3.0,2.0,463.0,3.0,231.5,3.0,1.5,0.0,135.0,0.011910553032959304,False
client10086,151.0,12.0,29273.0,67.0,2439.4166666666665,53.0,5.583333333333333,24.0,10.0,0.7530402136799519,False
client10087,11.0,19.0,49350.0,251.0,2597.3684210526317,159.0,13.210526315789474,40.0,3199.0,1.2695157498413427,False
client10088,209.0,1.0,1714.0,17.0,1714.0,14.0,17.0,0.0,22.0,0.04409219848486446,False
client10089,35.0,4.0,9603.0,11.0,2400.75,5.0,2.75,3.0,319.0,0.24703464530347344,True
client1009,32.0,9.0,24700.0,72.0,2744.4444444444443,35.0,8.0,15.0,8.0,0.635400993334978,False
client10090,154.0,3.0,1672.0,14.0,557.3333333333334,6.0,4.666666666666667,5.0,276.0,0.04301175954882928,False
client10091,50.0,10.0,6022.0,43.0,602.2,15.0,4.3,8.0,79.0,0.15491436363818775,True
client10092,110.0,1.0,999.0,1.0,999.0,1.0,1.0,0.0,999.0,0.02569901183569405,False
client10093,108.0,8.0,8131.0,56.0,1016.375,30.0,7.0,3.0,256.0,0.20916783306909742,False
client10094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
client10095,433.0,5.0,5578.0,42.0,1115.6,20.0,8.4,2.0,49.0,0.1434925806001015,False
client10096,478.0,1.0,15889.0,2.0,15889.0,2.0,2.0,0.0,4299.0,0.4087403393967395,False
client10097,83.0,17.0,22150.0,96.0,1302.9411764705883,36.0,5.647058823529412,6.0,26.0,0.5698029150756989,True
client10098,181.0,4.0,10203.0,35.0,2550.75,22.0,8.75,2.0,135.0,0.2624694872468332,False
client10099,85.0,24.0,33742.0,110.0,1405.9166666666667,63.0,4.583333333333333,18.0,119.0,0.86800406142141,False
client101,183.0,3.0,2728.0,8.0,909.3333333333334,6.0,2.6666666666666665,2.0,599.0,0.07017708136914251,False
client1010,363.0,2.0,1047.0,5.0,523.5,4.0,2.5,0.0,139.0,0.026933799191162833,False
client10100,31.0,6.0,37637.0,29.0,6272.833333333333,24.0,4.833333333333333,13.0,949.0,0.9682019103703874,True
client10101,2.0,1.0,177.0,3.0,177.0,1.0,3.0,0.0,177.0,0.004553278373291138,False
client10102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10103,66.0,3.0,19876.0,47.0,6625.333333333333,7.0,15.666666666666666,0.0,891.0,0.5113048641103654,False
client10104,415.0,4.0,4135.0,40.0,1033.75,22.0,10.0,10.0,687.0,0.10637178572632121,False
client10105,679.0,1.0,8246.0,14.0,8246.0,1.0,14.0,1.0,8246.0,0.21212617777490805,False
client10106,39.0,1.0,1118.0,2.0,1118.0,1.0,2.0,0.0,1118.0,0.02876025548779374,False
client10107,24.0,42.0,36780.0,301.0,875.7142857142857,172.0,7.166666666666667,66.0,1399.0,0.9461558111279552,False
client10108,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
client10109,378.0,1.0,7999.0,1.0,7999.0,1.0,1.0,1.0,7999.0,0.20577216784155827,False
client1011,26.0,16.0,17586.0,50.0,1099.125,17.0,3.125,3.0,319.0,0.4523952173598755,True
client10110,38.0,1.0,4499.0,1.0,4499.0,1.0,1.0,0.0,4499.0,0.11573558983862615,False
client10111,28.0,1.0,1618.0,2.0,1618.0,2.0,2.0,2.0,999.0,0.0416226237739269,False
client10112,28.0,25.0,38380.0,125.0,1535.2,63.0,5.0,13.0,297.0,0.9873153896435812,False
client10113,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10114,243.0,1.0,714.0,2.0,714.0,2.0,2.0,0.0,399.0,0.018367461912598148,False
client10115,531.0,2.0,1290.0,14.0,645.0,8.0,7.0,1.0,299.0,0.033184910178223545,False
client10116,236.0,9.0,19326.0,34.0,2147.3333333333335,22.0,3.7777777777777777,11.0,209.0,0.4971562589956189,False
client10117,1.0,5.0,11053.0,15.0,2210.6,13.0,3.0,1.0,698.0,0.28433551333325957,False
client10118,227.0,1.0,1813.0,17.0,1813.0,3.0,17.0,0.0,79.0,0.046638947405518834,False
client10119,32.0,18.0,28132.0,109.0,1562.888888888889,49.0,6.055555555555555,24.0,98.0,0.723688289250996,False
client1012,86.0,8.0,18498.0,127.0,2312.25,91.0,15.875,12.0,14.0,0.47585617711378236,False
client10120,41.0,14.0,98484.0,173.0,7034.571428571428,54.0,12.357142857142858,13.0,309.0,2.533474956583076,False
client10121,357.0,1.0,1694.0,6.0,1694.0,2.0,6.0,2.0,1516.0,0.04357770375341914,False
client10122,323.0,1.0,1193.0,6.0,1193.0,3.0,6.0,3.0,129.0,0.030689610730713714,False
client10123,6.0,32.0,45491.0,171.0,1421.59375,86.0,5.34375,30.0,109.0,1.170243991408967,True
client10124,224.0,2.0,9102.0,64.0,4551.0,46.0,32.0,9.0,1598.0,0.234146552280768,False
client10125,43.0,24.0,94881.0,333.0,3953.375,186.0,13.875,44.0,33.0,2.4407887307132006,True
client10126,379.0,1.0,1577.0,11.0,1577.0,5.0,11.0,5.0,495.0,0.04056790957446398,False
client10127,618.0,1.0,3211.0,27.0,3211.0,16.0,27.0,0.0,26.0,0.08260212913354714,False
client10128,10.0,19.0,41308.0,148.0,2174.1052631578946,113.0,7.7894736842105265,22.0,709.0,1.062637418327177,True
client10129,64.0,12.0,16697.0,501.0,1391.4166666666667,117.0,41.75,7.0,266.0,0.4295259265471306,False
client1013,26.0,30.0,61395.0,247.0,2046.5,83.0,8.233333333333333,13.0,10155.0,1.5793702018542903,False
client10130,93.0,7.0,4654.0,63.0,664.8571428571429,46.0,9.0,0.0,15.0,0.11972292400732744,True
client10131,14.0,32.0,48641.0,176.0,1520.03125,47.0,5.5,19.0,558.0,1.251276911611606,False
client10132,7.0,41.0,19967.0,281.0,487.0,178.0,6.853658536585366,104.0,298.0,0.5136458151384415,True
client10133,480.0,1.0,1908.0,12.0,1908.0,7.0,12.0,0.0,59.0,0.04908279737988413,False
client10134,706.0,1.0,6264.0,7.0,6264.0,3.0,7.0,0.0,3399.0,0.16113974988867621,False
client10135,56.0,8.0,1820.0,19.0,227.5,5.0,2.375,5.0,165.0,0.0468190205615247,False
client10136,372.0,2.0,2052.0,8.0,1026.0,7.0,4.0,1.0,398.0,0.05278715944629048,False
client10137,658.0,1.0,1867.0,12.0,1867.0,7.0,12.0,7.0,420.0,0.04802808318042121,False
client10138,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
